id,loan_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,purpose,title,zip_code,dti,fico_range_low,tot_cur_bal,loan_status
68407277,3600, 36 months,13.99,123.03,10+ years,MORTGAGE,55000,Not Verified,debt_consolidation,Debt consolidation,190xx,5.91,675,144904,Fully Paid
68355089,24700, 36 months,11.99,820.28,10+ years,MORTGAGE,65000,Not Verified,small_business,Business,577xx,16.06,715,204396,Fully Paid
68341763,20000, 60 months,10.78,432.66,10+ years,MORTGAGE,63000,Not Verified,home_improvement,,605xx,10.78,695,189699,Fully Paid
66310712,35000, 60 months,14.85,829.9,10+ years,MORTGAGE,110000,Source Verified,debt_consolidation,Debt consolidation,076xx,17.06,785,301500,Charged Off
68476807,10400, 60 months,22.45,289.91,3 years,MORTGAGE,104433,Source Verified,major_purchase,Major purchase,174xx,25.37,695,331730,Fully Paid
68426831,11950, 36 months,13.44,405.18,4 years,RENT,34000,Source Verified,debt_consolidation,Debt consolidation,300xx,10.2,690,12798,Fully Paid
68476668,20000, 36 months,9.17,637.58,10+ years,MORTGAGE,180000,Not Verified,debt_consolidation,Debt consolidation,550xx,14.67,680,360358,Fully Paid
67275481,20000, 36 months,8.49,631.26,10+ years,MORTGAGE,85000,Not Verified,major_purchase,Major purchase,293xx,17.61,705,141601,Fully Paid
68466926,10000, 36 months,6.49,306.45,6 years,RENT,85000,Not Verified,credit_card,Credit card refinancing,160xx,13.07,685,27957,Fully Paid
68616873,8000, 36 months,11.48,263.74,10+ years,MORTGAGE,42000,Not Verified,credit_card,Credit card refinancing,029xx,34.8,700,199696,Fully Paid
68356421,22400, 60 months,12.88,508.3,6 years,MORTGAGE,95000,Not Verified,debt_consolidation,Debt consolidation,290xx,22.98,710,376218,Charged Off
68426545,16000, 60 months,12.88,363.07,1 year,MORTGAGE,70000,Not Verified,debt_consolidation,Debt consolidation,786xx,26.4,720,265836,Charged Off
68338832,1400, 36 months,12.88,47.1,3 years,MORTGAGE,64000,Not Verified,other,,275xx,34.95,700,325695,Fully Paid
66624733,18000, 60 months,19.48,471.7,7 years,RENT,150000,Not Verified,debt_consolidation,Debt consolidation,916xx,9.39,665,36247,Charged Off
68466961,28000, 36 months,6.49,858.05,10+ years,MORTGAGE,92000,Not Verified,debt_consolidation,Debt consolidation,275xx,21.6,720,221110,Fully Paid
68354783,9600, 36 months,7.49,298.58,8 years,MORTGAGE,60000,Not Verified,credit_card,Credit card refinancing,299xx,22.44,695,55387,Fully Paid
68466916,25000, 36 months,7.49,777.55,10+ years,MORTGAGE,109000,Not Verified,debt_consolidation,Debt consolidation,226xx,26.02,745,305781,Fully Paid
68577849,18000, 60 months,11.99,400.31,10+ years,MORTGAGE,112000,Not Verified,debt_consolidation,Debt consolidation,856xx,8.68,800,205067,Fully Paid
68506798,23000, 60 months,8.49,471.77,5 years,RENT,64000,Not Verified,credit_card,Credit card refinancing,117xx,18.28,700,63886,Charged Off
68495092,8650, 36 months,19.89,320.99,8 years,RENT,55000,Verified,debt_consolidation,Debt consolidation,462xx,25.49,675,18926,Fully Paid
68566886,29900, 60 months,12.88,678.49,10+ years,MORTGAGE,65000,Verified,debt_consolidation,Debt consolidation,219xx,21.77,715,220251,Fully Paid
68009401,16000, 60 months,14.85,379.39,10+ years,MORTGAGE,48000,Not Verified,credit_card,Credit card refinancing,297xx,33.18,685,31329,Fully Paid
68476702,28000, 36 months,13.44,949.38,2 years,OWN,125000,Source Verified,debt_consolidation,Debt consolidation,100xx,7.49,695,22780,Fully Paid
68436666,5000, 36 months,13.44,169.54,2 years,RENT,79000,Verified,credit_card,Credit card refinancing,214xx,12.7,665,35653,Fully Paid
68476715,6000, 36 months,7.49,186.61,10+ years,MORTGAGE,100000,Not Verified,debt_consolidation,Debt consolidation,750xx,13.28,695,116195,Fully Paid
67849662,4225, 36 months,14.85,146.16,5 years,RENT,35000,Source Verified,debt_consolidation,Debt consolidation,672xx,15.22,725,4888,Charged Off
68596180,20000, 36 months,5.32,602.3,9 years,OWN,65000,Not Verified,debt_consolidation,Debt consolidation,125xx,18.83,835,15444,Fully Paid
68526907,16000, 60 months,17.97,406.04,< 1 year,MORTGAGE,109000,Source Verified,debt_consolidation,Debt consolidation,880xx,23.35,680,182936,Fully Paid
68607141,17600, 36 months,5.32,530.03,< 1 year,MORTGAGE,88000,Source Verified,credit_card,Credit card refinancing,672xx,26.59,780,229082,Fully Paid
68526883,15000, 36 months,5.32,451.73,10+ years,MORTGAGE,44000,Source Verified,home_improvement,Home improvement,238xx,15.34,685,17003,Fully Paid
67715283,16000, 36 months,12.88,538.18,10+ years,MORTGAGE,65000,Not Verified,small_business,Business,354xx,18.96,675,39781,Charged Off
68341789,24250, 60 months,24.24,701.01,4 years,MORTGAGE,75000,Not Verified,debt_consolidation,,114xx,20.84,660,320098,Charged Off
68533595,12000, 36 months,10.78,391.62,1 year,RENT,98000,Not Verified,debt_consolidation,Debt consolidation,993xx,24.04,690,374585,Fully Paid
68415473,25000, 60 months,13.99,581.58,9 years,MORTGAGE,79000,Not Verified,debt_consolidation,Debt consolidation,212xx,34.53,730,265233,Charged Off
68537655,16800, 60 months,12.88,381.23,10+ years,MORTGAGE,118000,Not Verified,debt_consolidation,Debt consolidation,636xx,34.29,680,314793,Charged Off
68446769,7000, 36 months,7.49,217.72,10+ years,MORTGAGE,59000,Not Verified,credit_card,Credit card refinancing,215xx,13.06,730,55222,Fully Paid
68367011,21000, 60 months,13.99,488.53,< 1 year,RENT,52000,Source Verified,credit_card,Credit card refinancing,441xx,14.47,680,372407,Fully Paid
68407301,27500, 60 months,14.85,652.06,10+ years,MORTGAGE,195000,Not Verified,other,Other,710xx,6.79,700,267500,Fully Paid
68356614,7200, 36 months,11.48,237.36,10+ years,MORTGAGE,72500,Verified,home_improvement,Home improvement,300xx,8.47,725,147791,Fully Paid
68426865,20000, 36 months,14.85,691.84,6 years,RENT,110000,Not Verified,credit_card,Credit card refinancing,606xx,12.45,690,37491,Fully Paid
68476676,20000, 36 months,15.77,700.88,5 years,RENT,70000,Not Verified,house,Home buying,331xx,22.21,680,63456,Fully Paid
68566951,10000, 60 months,17.97,253.78,2 years,MORTGAGE,55000,Not Verified,credit_card,Credit card refinancing,802xx,35.7,685,288087,Charged Off
68615044,16000, 60 months,13.99,372.21,9 years,MORTGAGE,142000,Verified,debt_consolidation,Debt consolidation,945xx,17.74,680,667373,Charged Off
68527009,20000, 36 months,9.8,643.47,5 years,RENT,75000,Not Verified,debt_consolidation,Debt consolidation,984xx,23.45,725,40090,Fully Paid
68547583,8650, 36 months,5.32,260.5,< 1 year,MORTGAGE,100000,Not Verified,credit_card,Credit card refinancing,462xx,7.28,750,165450,Fully Paid
68587709,21000, 60 months,13.44,482.56,2 years,RENT,54649,Source Verified,debt_consolidation,Debt consolidation,761xx,12.14,670,51489,Fully Paid
68446771,7200, 36 months,15.77,252.32,< 1 year,RENT,55000,Not Verified,debt_consolidation,,142xx,17.35,680,275831,Fully Paid
66796130,8800, 36 months,9.8,283.13,10+ years,MORTGAGE,92000,Source Verified,credit_card,Credit card refinancing,493xx,5.18,665,105650,Fully Paid
68617034,14650, 60 months,20.5,392.23,2 years,RENT,43160,Verified,debt_consolidation,Debt consolidation,430xx,21.44,690,62813,Charged Off
68387134,2500, 36 months,17.27,89.47,10+ years,MORTGAGE,50000,Verified,other,Other,330xx,17.6,670,197169,Fully Paid
68566925,11000, 36 months,9.17,350.67,10+ years,MORTGAGE,69000,Not Verified,credit_card,Credit card refinancing,441xx,21.34,680,205780,Fully Paid
68516838,23850, 60 months,17.27,596.21,10+ years,OWN,68046,Not Verified,debt_consolidation,Debt consolidation,231xx,24.71,665,525195,Charged Off
